,ItemNo,AItemName
326,1307,صفاية كروم  15*15 سم TREDEX
327,1308,"سكر قبلان كوستا 25 * 3/4"""
328,1299,مجلة المنيوم 120*50سم
329,1309,سليكون بيج الماني GP
330,130,"جلبة ذكر حار2"" نحاس"
331,1300,مجلة كوري كوني 120*60 سم
332,1306,"سكر قبلان مخفي عادي 32 * 1"""
333,131,"جلبة ذكر تركى 25*1/2"""
334,1310,"سكر تركي كوستا 32*1"""
335,1311,"سكر تركي كوستا 25* 3/4"""
336,1312,"سكر قبلان كوستا مخفي  32 * 1"""
337,1313,صفاية فيبر15*15سم ستامينا ابيض
338,1314,تطويلة سكر ظرف صينى
339,1304,نحاس 10 مم ارت
340,1315,مرايا 3 رف ائيديل
341,1317,مرايا SWB-KS05
342,1318,"تسنين ماسورة 3"""
343,1319,قسام كهرباء حديد 45*45*10 سم الترا
344,1316,"عوامة خزان 2""RUX"
345,132,"جلبة ذكر تركى 20*1/2"""
346,1321,قسام كهرباء حديد30*30*6 سم
347,1322,مرايا 60*80  1046
348,1323,مرايا مدور صغير شينل
349,1325,"مروحة دينمو1""سمنان"
350,1326,"مروحة دينمو 1/2""سمنان"
351,1327,"مروحة دينمو 1/2-1""سمنان"
352,1328,"مروحة دينمو 3/4"" سمنان"
353,1329,"مروحة دينمو 2"" سمنان"
354,133,"جلبة ذكر تركى 20*3/4"""
355,1324,مرايا محراب شينل
356,1330,صفاية كروم  20*20 سم TREDEX
357,1332,صفاية بلاستيك 20*20سم شخال YILAIKE
358,1333,صفاية كروم20*20 سم DONA
359,1337,صفاية كروم10*10 سم DONA
360,1331,صفاية كروم 20*20سم برم ايطالى
361,1338,مروحة شفط مربع 30 ماه تات
362,1320,قسام كهرباء حديد30*30*10سم
363,1339,هراب مغسلة اتوماتيك ستامينا
364,1342,ديمر2000 شمع بيج ناس
365,1343,حوض مغسلة AB30ابيض ستار بلس
366,1345,مسمار برغي16*15
367,1347,مسمار برغي 8* 1/2-1مم
368,1350,خلاط دش اتوماتيك دوميغاء
369,1351,خلاط مغسلة اتوماتيك دوميغاء
370,134,"جلبة ذكر حار 3"" نحاس"
371,1340,مسترينة
372,1334,مروحة شفط مربع 15 ماه ـ تات
373,1336,مروحة شفط مربع 25 ماه تات
374,1348,لمبة كورا 40 وات ابيض ليد
375,1346,مسمار برغي 10 * 1/2-2مم
376,1341,"سكر سكين بارد شدوصل 1""ملي ضغط 80"
377,135,"جلبة ذكر حديد 1"" ياباني"
378,1353,كرسى افرنجى ابيض 0022 ائيديل
379,1354,سيخ حديد مسسن 10 ملي 2 متر
380,1356,مسمار سخان صيني
381,1357,مسمار صامولة رقم 1/2-1 *1
382,1358,مسمار صلب 5 سم علبة صغيرة
383,1359,"كوع فاتح كروم 3/4"""
384,1349,"مسمار اسود 7*1"""
385,1352,خلاط مجلة خرم 1 كرت
386,1344,صفاية كروم 60*10سم ايطالى
387,1360,"ماسورة ابيض 2"" نيبرو ضغط 40"
388,1361,نحاس 120 مم ارت
389,1355,مسمار سخان HSH
390,1363,سيفون مبولة
391,1364,مسمار صلب مقاس 3 سم تايواني
392,1365,خلاط مغسلة اتوماتيك RHEIN-2
393,1366,مسمار طلاقات ـ Betto
394,1367,مربط كيبل 35 ملى
395,1368,"مسمارعلبة 1/14 * 7"""
396,1372,مسمار مغسلة صيني
397,1362,مغسلة ابيض 306 ائيديل
398,136,"جلبة ذكر حديد 1/2"" موديل يابانى"
399,1373,مسمار شينكو
400,1369,مسمار غطاء كرسي افرنجى
401,137,ريشة جبس هولسو 200مم 20 سم
402,1375,ساعة ضغط 6 بارايطالي
403,1378,كرسى افرنجى ابيض 1049  ائيديل
404,1379,خلاط مجلة الفو
405,138,"جلبة ذكر حديد 3/4"" ياباني"
406,1380,ساعة ضغط 12 بارايطالي
407,1371,مسمار مغسلة HSH
408,1370,مسمار كرسي افرنجي HSH
409,1381,معجون  برماتكس
410,1374,مسمار صاج  2 * 6 علبة
411,1383,صندوق مناديل كبير
412,1382,مزراب 4 بوصة ذهبى
413,1377,مزراب 3بوصة كروم
414,1376,مشرط سكين
415,1385,مغسلة ابيض 325
416,1387,"نيبل غاز 1"""
417,1388,مغسلة ابيض-A 065 -BBM
418,139,"جلبة ذكر بارد بلاستيك 1"""
419,1390,مغسلة ابيض 2085 ائيديل
420,1391,مغسلة ابيض 1025
421,1392,كرسى افرنجى جدارى خزف
422,1384,مغسلة ابيض 318 ستار بلس
423,1393,"كوع حديد 2"" موديل يابانى"
424,1394,مغسلة ابيض 3002
425,1395,مغسلة ابيض 321
426,1389,مغسلة ابيض زاوية
427,1398,"كوع ابيض 1/2-1"" نامات ضغط 40"
428,1399,غطاء المونيوم شبك فتحة صفاية 70*70سم ريبيتال
429,14,مغسلة ابيض زاوية 605 ستاربلس
430,140,"جلبة ذكر حار1"" بلاستيك"
431,1400,"جلبة حديد 3"" موديل"
432,1402,خلاط دش جروهي كوستا 25452001
433,1403,مفتاح ثلاثي ـ الرائد
434,1386,مغسلة ابيض 316 ستاربلس
435,1404,مفتاح مجوز دركسون ابيض الفا
436,1397,خلاط دش مخفي جروهي 33963000
437,1405,مفتاح ثلاثى ابيض NAS PLUS
438,1406,خلاط دش اتوماتيك RHEIN-2
439,1407,خلاط مجلة خرم 1 اتوماتيك RHEIN-2
440,1408,مفتاح جرس الرائد
441,1409,مغسلة دلاب بنى  135 T ستار بلس
442,141,"جلبة ذكر ابيض 1/2"" ضغط 40"
443,1410,مفتاح رباعي ـ الرائد
444,1396,مروحة شفط سقفى 220*QCA 160 تات
445,1401,خلاط شطاف مخفى 33964000 جروهي
446,1411,مفتاح سخان 20 امبير ابيض  WC 324
447,1412,نقاص تحويل 63*25 ملى
448,1413,مفتاح طبلون 100امبيرجانى الترا
449,1414,مرايا ليد8948*8885*637 ائيديل
450,1416,مفتاح قلب سخان
451,1417,مفتاح ثلاثى بيج NAS PLUS
452,1418,مفتاح مجوز دركسون ابيض NAS PLUS
453,1419,مفتاح مجوز ابيض الرائد Wc 303
454,142,"جلبة ذكر ابيض 2"" ضغط 40"
455,1420,مفتاح ثلاثى دركسون بيج NAS PLUS
456,1421,مفتاح ثلاثى دركسون ابيض NAS PLUS
457,1423,مفتاح سخان ابيض  NAS PLUS
458,1424,مفتاح مفرد ابيض WC 301
459,1425,مفتاح سخان بيج  NAS PLUS
460,1426,مفتاح مكيف 7 سم بيج  NAS PLUS
461,1427,كرسى افرنجى ابيض 139 ستار بلس
462,1429,مفتاح مكيف 45 امبير7*7  الرائد
463,143,"جلبة ذكر ابيض 3"" ضغط 40"
464,1430,مرايا 60*80 استيل اعمال
465,1431,مفتاح مكيف صحراوي مدور
466,1432,مفك طقم
467,1433,مفك كهرباء صغير
468,1434,مفك كهرباء كبير
469,1435,مقص مواسير كبير
470,1436,كرسى افرنجى  صينى جنب
471,1428,"دينمو 2.5"" سمنان STA-RITE ضمان وكيل"
472,1437,مقص بولت 30 ياباني
473,1438,بيدي زهور خزف
474,1439,صفاية كروم 10*10 STAMINA
475,144,"جلبة ذكر حار 1"" نحاس"
476,1440,"سدة حديد 3/4"" موديل"
477,1441,كرسى افرنجى بيج 30 سم 001
478,1443,رف قزاز ديكورF4012 كريستال
479,1444,علاق مناشف المنيوم
480,1445,علاق مناشف ملابس (6)
481,1446,علاق مناشف 5606
